Unnamed: 0,ID_hecho,AAAA,MM,DD,ROL,VICTIMA,SEXO,EDAD,Agno_fallec,Mes_fallec,Día_fallec,Semestre,Fallecido
0,2016-0001,2016,1,1,CONDUCTOR,MOTO,MASCULINO,19,2016,1,1,1,1
2,2016-0003,2016,1,3,CONDUCTOR,MOTO,MASCULINO,30,2016,1,3,1,1
3,2016-0004,2016,1,10,CONDUCTOR,MOTO,MASCULINO,18,1970,1,1,1,1
4,2016-0005,2016,1,21,CONDUCTOR,MOTO,MASCULINO,29,2016,2,1,1,1
5,2016-0008,2016,1,24,CONDUCTOR,MOTO,MASCULINO,30,2016,1,24,1,1
6,2016-0009,2016,1,24,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,29,2016,1,26,1,1
7,2016-0010,2016,1,29,CONDUCTOR,MOTO,MASCULINO,18,2016,1,29,1,1
8,2016-0012,2016,2,8,CONDUCTOR,MOTO,MASCULINO,22,2016,2,8,1,1
11,2016-0016,2016,2,14,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,19,2016,2,14,1,1
16,2016-0022,2016,2,21,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,41,1970,1,1,1,1
22,2016-0031,2016,3,8,CONDUCTOR,MOTO,MASCULINO,21,1970,1,1,1,1
24,2016-0035,2016,3,13,CONDUCTOR,MOTO,MASCULINO,34,2016,3,13,1,1
25,2016-0036,2016,3,14,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,36,2016,3,14,1,1
26,2016-0037,2016,3,19,CONDUCTOR,MOTO,MASCULINO,20,2016,3,19,1,1
28,2016-0039,2016,3,23,CONDUCTOR,MOTO,MASCULINO,20,2016,3,23,1,1
29,2016-0041,2016,3,29,CONDUCTOR,MOTO,MASCULINO,54,2016,3,29,1,1
30,2016-0041,2016,3,29,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,0,2016,3,30,1,1
32,2016-0044,2016,3,31,CONDUCTOR,MOTO,MASCULINO,24,2016,3,31,1,1
33,2016-0045,2016,4,11,CONDUCTOR,MOTO,MASCULINO,0,1970,1,1,1,1
38,2016-0051,2016,4,20,CONDUCTOR,MOTO,MASCULINO,36,2016,4,20,1,1
39,2016-0052,2016,4,20,SD,MOTO,SD,0,1970,1,1,1,1
41,2016-0054,2016,4,23,CONDUCTOR,MOTO,MASCULINO,30,2016,4,25,1,1
43,2016-0056,2016,4,26,CONDUCTOR,MOTO,MASCULINO,26,2016,4,26,1,1
48,2016-0067,2016,5,21,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,30,1970,1,1,1,1
49,2016-0068,2016,5,22,CONDUCTOR,MOTO,MASCULINO,58,1970,1,1,1,1
51,2016-0073,2016,6,11,CONDUCTOR,MOTO,MASCULINO,23,1970,1,1,1,1
56,2016-0078,2016,6,13,CONDUCTOR,MOTO,MASCULINO,30,1970,1,1,1,1
59,2016-0081,2016,6,22,CONDUCTOR,MOTO,MASCULINO,40,1970,1,1,1,1
63,2016-0085,2016,6,29,SD,MOTO,MASCULINO,0,1970,1,1,1,1
