Agno,Semestre,Poblacion,Fallecido,TMA,Cambio_Porcentual
2016,1,3059122,104,3.465046506808162,
2016,2,3059122,40,1.3075647195502498,-62.26415094339623
2017,1,3063728,75,2.6111978609067124,99.69932056631663
2017,2,3063728,56,1.9583983956800342,-25.0
2018,1,3068043,70,2.3793669123933396,21.495550529550368
2018,2,3068043,73,2.477149114272518,4.109589041095885
2019,1,3072029,58,1.8880030103882486,-23.78323131578165
2019,2,3072029,45,1.4973816978941281,-20.6896551724138
2020,1,3075646,31,1.0404318312315528,-30.516592215947046
2020,2,3075646,47,1.5931612415733152,53.125
2021,1,3078836,56,1.8188692090127567,14.16730218822957
2021,2,3078836,41,1.3316720994557683,-26.785714285714292
